,Registered Voters,Ballots Cast,Biden,Trump,Blankenship,Jorgensen,Carroll,WRITE-IN
City of Milwaukee Ward 280 ,1911,1634,1124,481,6,10,6,3
City of Milwaukee Ward 281 ,891,751,474,265,0,7,0,1
City of Milwaukee Ward 282 ,475,389,265,111,2,7,0,3
City of Milwaukee Ward 283 ,914,738,473,252,1,6,1,3
City of Milwaukee Ward 284 ,892,703,500,197,0,3,1,2
City of Milwaukee Ward 285 ,221,178,127,50,0,0,0,0
City of Milwaukee Ward 286 ,538,423,277,136,0,3,1,3
City of Milwaukee Ward 287 ,562,484,331,141,0,7,2,2
City of Milwaukee Ward 288 ,1264,1078,673,386,0,12,1,5
City of Milwaukee Ward 289 ,780,640,449,186,1,2,0,2
City of Milwaukee Ward 290 ,699,556,399,141,2,8,1,4
City of Milwaukee Ward 291 ,668,530,357,160,3,3,2,1
City of Milwaukee Ward 292 ,747,632,428,198,0,3,2,1
City of Milwaukee Ward 293 ,903,792,495,277,1,11,2,3
City of Milwaukee Ward 294 ,696,623,418,191,2,8,1,1
City of Milwaukee Ward 295 ,890,751,541,191,2,10,2,4
City of Milwaukee Ward 296 ,1098,984,670,288,3,14,2,4
City of Milwaukee Ward 297 ,993,850,637,197,3,7,0,5
City of Milwaukee Ward 298 ,827,724,542,162,1,13,0,5
City of Milwaukee Ward 299 ,1029,923,653,249,0,15,0,4
City of Milwaukee Ward 300 ,1388,1218,967,224,3,15,1,5
City of Milwaukee Ward 301 ,1314,1156,769,361,0,20,1,2
City of Milwaukee Ward 302 ,906,793,476,309,0,5,1,1
City of Milwaukee Ward 303 ,1316,1173,722,429,2,14,0,5
City of Milwaukee Ward 304 ,1089,931,531,379,1,9,1,7
City of Milwaukee Ward 305 ,1101,936,567,344,1,13,2,5
City of Milwaukee Ward 306 ,891,703,476,215,2,3,3,1
City of Milwaukee Ward 307 ,910,802,486,302,1,7,1,5
City of Milwaukee Ward 308 ,942,753,506,235,1,6,0,4
City of Milwaukee Ward 309 ,1298,1116,645,453,4,7,2,3
City of Milwaukee Ward 310 ,448,358,250,104,1,1,0,0
City of Milwaukee Ward 311 ,785,663,368,277,2,8,1,0
City of Milwaukee Ward 312 ,1029,951,553,389,0,3,2,3
City of Milwaukee Ward 313 ,2034,1747,950,762,2,22,1,6
City of Milwaukee Ward 314 ,769,681,347,320,3,8,1,1
City of Milwaukee Ward 315 ,1510,919,466,436,2,7,1,4
City of Milwaukee Ward 316 ,865,751,373,370,0,2,0,5
City of Milwaukee Ward 317 ,1019,906,533,352,3,13,0,0
City of Milwaukee Ward 318 ,0,0,0,0,0,0,0,0
City of Milwaukee Ward 319 ,0,0,0,0,0,0,0,0
City of Milwaukee Ward 320 ,59,41,37,4,0,0,0,0
City of Milwaukee Ward 321 ,296,206,173,29,1,1,2,0
City of Milwaukee Ward 322 ,166,123,98,23,0,0,1,1
