,Joseph R. Biden / Kamala D. Harris,Donald J. Trump / Michael R. Pence,Don Blankenship / William Mohr,Jo Jorgensen / Jeremy Spike Cohen,Brian Carroll / Amar Patel,WRITE-IN,
City of West Allis Ward 1 ,552,302,1,17,0,3,
City of West Allis Ward 2 ,837,365,0,15,1,4,
City of West Allis Ward 3 ,522,280,1,17,2,5,
City of West Allis Ward 4 ,714,488,3,12,0,8,
City of West Allis Ward 5 ,585,401,1,10,2,1,
City of West Allis Ward 6 ,490,399,0,21,1,5,
City of West Allis Ward 7 ,675,470,2,19,4,5,
City of West Allis Ward 8 ,565,337,4,13,3,3,
City of West Allis Ward 9 ,735,523,2,15,1,4,
City of West Allis Ward 10 ,671,414,2,15,2,3,
City of West Allis Ward 11 ,702,679,3,11,3,4,
